content,score
Maps nya kocak alamat gaada semua susah amat nyarinya ubah rute jg gila biaya nya,1.0
"Saat saya melakukan order food, pencarian draivernya selalu tidak ketemu kalau begitu kenapa harus ada orderan makanan, lalu saya beralih ke aplikasi ojek online yang lain.",1.0
Baru pesan aja udah minta tarip kaya angkot padahal di aplikasi uang ny ga segitu,1.0
"Bagusnya di awal doang, setelah lebih lama pake susah bngt dapet driver meski udah pake fitur percepat dan nambah biaya sampe harus menunggu setengah jam lebih... Parah",1.0
"Aplikasi ini buruk sekali saya tidak ada mesan bahkan saya belum daftar karna gak dapet dapet kode verifikasi nya, tiba tiba saya di telpon sama driver. Gimana sih aneh banget",1.0
"Saya pelanggan dari bulan agustus 2020 sampe sekarang. Dulu sy Download karna teman sy menyarankan, Karna lebih ekonomis, Pas sy download dan sy pakai maxim. Its ok lah bagus, walaupun maps nya kadang ngebleng. Dan sy recomendasiin ke temen2. Dan lumayan responnya bagus Tapi perbulan april ini. Sy pakai maxim. 1,Makin lama penjemputannya. 2,makin gajelas mapsnya. Jujur sy sangat kecewa sih. Sama maxim. Dulu seneng pakai maxim. Sekarang mikir2 lagi, dah",1.0
"Gilak Driver Maxim ya, meskipun rata rata pegawainya baik baik aja, tapi semalam pas saya order kebetulan ktemu pegawai yg ga ada otak, udah jelas biaya driver nya udah tercantum dan dia malah motong banyak duitku untuk bayar ongkosnya.. pemotongan secara pribadi itu namanya, diluar aturan maxim, karena dia bilang itu adalah uang tunggu nya. Dia menunggu selama stengah jam jadi harus dibayar. Gilak ya..bukan sekali dua saya order Maxim, dan baru kali ini ketemu driver yg pikiran nya yg licik kek gt",1.0
Kecewa bnget dgn driver . Masa ada uang menunggu padahl pesan mkanan sih applikasih lainya gk ada . Langsung hapus dgn aplikasi.,1.0
"Aplikasi gak jelas. Orderan mkanannya gak lengkap. Ojol sering salah mesan, warung juga gak jelas ngasih orderan. Auto uninstall.",1.0
Pelayanan buruk sekali... Ga mau nyarii titik lokasinya. Malah canc seenak nya,1.0
"Maxim Palembang, kok selalu tiap pesen udah jelas titik tujuan PTC MALL kadang juga di tulis PIZZA HUT PTC MALL, selalu distop di tangga penyebrangan seberang deretan MCD, bukan sekali 2 kali, hampir setiap pesen kek gitu, padahal udah jelas titik tujuan PTC MALL, kan pembayaran sesuai titik tujuan.. tolong lah Gridenya dikasih tinjauan lagi. Mksh",1.0
MURAH SIH TAPI MAKE APLIKASI INI KAYA ORANG BEGO MUTER TERUS,1.0
Saya pesan Maxim yang tadinya ongkos hanya 30 rb pas order tiba sampai tujuan jadi 57 ribu. Pakai uang tunggu😭padahal setelah driver tiba saya langsung naik.saya sangat kecewa dengan aplikasi ini.👎,1.0
"untuk car tidak mau hidupkan ac, kata supirnya kena biaya tambahan, peta gak jelas, supir jutek, gak ada sopan santunnya.",1.0
Ribet konfirmasi nomoer telponnya . Sudah menunggu lama untuk mendapat kode otp tapi tidak segera dikirim. Sampe waktu habis dan sesi juga habis . Mohon diperbaiki .,1.0
"Aplikasi gak jelas... udah map nya gak bener , driver nya yg gak tau alamat kita yg kenak tmbhan argo...",1.0
Diperbarui malah gk jelas. Maps pindah2. Mau dicancel pindah lokasi gk bisa,1.0
"Maps gak jelas, tidak akurat, banyak alamat yang tidak lengkap dan keliru titiknya. Padahal baru mau order, 1 jam gak kelar-kelar nyari titik alamatnya.",1.0
Tolong kondisi driver ojek online nya saya di bengkulu banyak di sekitar ojol masa lama cari driver ojek motornya klw emang gak nian mending gak usah kesal 😤😧😡😠klw gini terus saya klw bayar delivery buat konsumen saya selalu di lebihkan bahkan klw uang talangan kurang msh saya maklumin ini terlalu,1.0
1. Sulit sekali order car jarak dekat. Driver pada ga mau ambil ongkos 8rb ! 2. Maps nya entah buatan siapa sih bikin pusing ! 3. Order makanan posisi resto sama driver keterlaluan jauhnya !,1.0
"Tlong dong Maxim , pengemudi nya tolong lebih di perketat identitas nya , aaaya kemarin ntah dia bawa kemana2 , hampir saya di culik .g aman banget buat cewek .kesel sih sampe marah2 saya sama pengemudi nya tapi ttp aja dia bawa ke tempat sempit, dan syukur nya allahasih sayang sama saya jadi selamat akhirny sampe tujuan",1.0
"Tadi saya pesan, padahal di aplikasi masih tertera sedang mencari, tiba tiba 2 orang berbeda menelpon saya padahal orderan belum diterima, diperbaiki lah aplikasi bobrok ini",1.0
Aplikasinya buruk sekali gak bisa mencari titik yang kita mau gak sesuailah,1.0
Payah! Peta kerap meleset! Bikin sesat! Sering dapat rider jauh dari titik jemput TOLONG PERBAİKİ! Jangan bikin kami customer kecewa,1.0
Sejak kapan Maxim mainin harga? Harga sebelum order itu tertera sekitar ±25.000 kenapa pas turun sampe lokasi malah berubah drastis jadi ±40.000 ? Kalo tau gitu mending aplikasi sebelah yang udah pasti ga neko neko banyak promo nya. Buat developer semoga suksesssssssssssssssssssssssssssssssssssss,1.0
Tolong dong buat Maxim kalu rekrut driver yang benar dan juga beri pelatihan tata cara dan sopan santun dalam bicara kepada costamer kalu perlu ada surat berkelakuan baik dari kepolisian .jangan arokgan. agar costamer bisa senang pesan maxim.jangan kayak waktu itu saya pesan Maxim titik tujuan salah ...driver nya marah marah dan bicara tidak sopan .yesel saya pesen Maxim lagi.tadi nya senang dengan harganya yg murah dibandingkan ojek onlen lain nya.,1.0
"Gak pernah ketemu driver Maxim bike yg punya attitude bagus di Surabaya. Kalo gak suka call pribadi,chat spam, gak tau jalan, galak, gak ramah,motornya jg susah buat dinaikin. Semoga ada teguran dan edukasi ya",1.0
"Tukang Ojeknya Engak Sopan, Masa Saya Nanyak Aja Di marahin😡Engak Suka,Saya Akan Kasi 1 Bintang Aja Kalau Ojeknya Sopan Semua Baru Saya Kasi 5 Bintang",1.0
"Lucu sih ini supirnya belum sampai di lokasi tp di aplikasi sudah dipilih pengemudi telah tiba dan waktu tunggu mulai berjalan padahal loh saya yg menunggu,  pengemudi tiba lewat dr waktu tggu. Ini sering bgt loh",1.0
"JELK BGT, driver GALAK2 MENDING GAUSAH JADI DRIVER. MENANG MURAH DOANG",1.0
"Bintang 1 dulu,food and shoopNya teralalu murah...bisa merugikan driver",1.0
Untuk pihak maxim daerah jawa barat kota tasikmalaya saya mohon untuk memilih pegawai tuh yang siap kerja masa saya order dua kali pengemudi nya minta di batalin order bilang nya kejauhan mohon untuk di kasih himbauan untuk pegawai maxim nya terimakasih maaf saya kasih bintang satu dulu.,1.0
"Aplikasi jelek,,hampir semua pengemudi emosian kalau Maxim,,ramah dan attitude gak ada,,,aplikasi mutar terus,,batal tetap aja tidak ok,,sudah ok,,driver nya datang,,ngajak berantam,, akhirnya ribut didepan rumah,, perbaiki tuh,,murah tapi gak ok",1.0
"Apaan ini aplikasi masa udah dapat pengemudi ditulis sedang mencari pengemudi  tiba"" auto cancel sndiri + tiba"" si supir ngegas bilang saya tiba"" cancel padahal aplikasi ga jelas parah",1.0
"Saya kecewa, karna saya pesan udah sesuai sama alamat rumah, masa alamat yg saya pesan sama yg di terima driver gak sama? saya kan bingung jadi nya, tolong dong harus benar2 d perbaikin sistem ny",1.0
"maxim manado beberapa pekan ini driver motor,selalu nyata2 meminta ongkos untuk di bulatkan,misalnya 6.8k driver meminta di bulatkan 10k,padahal barang yg di antar ringan",1.0
Paling kecewa pake maxim! Why? Driver yg kurang attitude. Driver yg jalannya rusuh. Maps nya yg jelas! Ribet dan ga lengkap titiknya ga detail. Tolong lah di perbaiki. Emang si harga lebih murah dibanding yg lain. Tp sam aja dong kalo banyak minusnya. Please DIPERBAIKI. THANKYOU,1.0
"Saya pesan pukul 17.00 utk mengantar nenek sama sepupu kecil, sang supir alibi bahwa tujuan hanya lewat itu saja pd tlwt jembatan motor, padahal nenek lebih tau jalan. Supir pun meninggalkan nenek kami begitu saja. Yang saya herankan masa seorang driver tidak paham Maps, sungguh aneh dan menyalahkan lagi. Tolong tindak lanjut pihak driver yg seenaknya dan berperilaku kurang pantas. Tolong harap tegas. Kami konsumen yg mesan dengan baik2, jadi tolong perbaiki layanannya. Terimakasih.",1.0
lokasinya ngak akurat dan terkadang tarif awal beda dengan tarif akhir....,1.0
Gk jelas aplikasi ini gk kaya punya sebelah lokasi tujuan udh di tulis yg keluar alamat lain.masa order blm ada tujuanya udh masuk kn bikin stres ampe emosi gw. Hancur pokoknya,1.0
"alamat kurang lengkap, aplikasi sering eror, suka mental² murah si tapi yaaaaaudah sorry segini dulu y ratingnya. mohon untuk ditingkatkan pelayanannya",1.0
Kalo buat app yg bner dong benerin dl yg double order trus!!!!!,1.0
"Aplikasi yg jika diperlukan aplikasi nya tidak berjalan lancar , padahal jaringan saya stabil tapi di aplikasi ini tidak berjalan lancar , sangat tidak membantu",1.0
Gimana sih kadang tuh kita udah pesen tapi tiba2 aplikasinya gak bisa dihubungin ke server padahal jaringan saya bagus jadikan kita bingung malah buang2 waktu,1.0
Maxim kek kuntul. nyari alamatnya susah bgett. padah udah jelas dikasih alamat yg sesuai. nomor rumah juga malah disuruh pilih dari petak gua kasih bintang 1 aja. kesel guaaaa,1.0
"PERTAMA KALI NAIK MAXIM DRIVER TIDAK ADA ETIKAAA!!! MENGEMUDI URAKAN!!! PD SAAT SAMPAI TUJUAN, DRIVER TIDAK MAU BERHENTI, SAAT SY BILANG "" PAK SUDAH KEJAUHAN, BERENTI !!"" MALAH DI KEBUTTTTTTT SAMPE DORONG driver LALU SY JATUH DR MOTOR NYEROSOT.! GILAAAAAAAA!!!!",1.0
"Aplikasi tidak sensitif dan tanggap terhadap lokasi penjemputan dnan tujuan. Dibanding harga yang murah,say lebih memilih aplikasi yg tanggap dan tidak menghabiskan banyak waktu untuk segera terhubung. Tampilan maps juga sangat amburadul... huft... Harap jd masuka untuk masa depan.",1.0
Keseringan error. Masa order yg udah di batalin bd tbtb masuk lagi. Jadi kita yang di maki ama driver. Huh!,1.0
"driver suka cancel kesal saya mau pulang jadi ga bisa bisa, buat kebijakan biar driver ada batasnya jga cancel",1.0
"Tadinya mau nyoba layanan maxim ini, tapi buka map aja muter2, gambarnya cuma kotak2 kek buku mau nulis laten waktu saya SD 🤣🤣. Sedangkan HP yg saya pake RAM 6, jaringan WIFI, multitasking aplikasi sedikit, kurang apa coba? Gak kebayang klo gua pakai HP 3310 saya 😑 Maaf, uninstall lagi dulu ya, nanti kalau sudah bagus, coba lagi. Good luck!",1.0
"Udah 2x kecewa naik Maxim, driver pertama bawa saya keliling2 lewat jalan pintas sampe lewatin kuburan tanpa konfirmasi sampe sy telat kerja dan gak minta maaf sama sekali. Yang kedua driver gatau jalan dan ga ngomong tiba2 belok jalan yg makin jauh udah gitu motornya tinggi banget pas saya turun sampe jatuh. Perbaiki tolong",1.0
"Perbaiki dong sering lemot, tempat juga kurang detail. Pencarian kadang nggak ketemu",1.0
"Saya sangat kecewa,Abang saya dibawa kemana mana, waktu pesan sudah diberikan alamatnya,tapi karena Abang saya kondisi nya kurang sehat hampir 45 minor diperjalanan.",1.0
Aplikasi anh udh mahal gk ada ramah sama skali liat brow d bandung gua asli bandung bru pertama kali pke aplikasi anah menge.cewakan mahal lgh,1.0
"Aplikasi sampah banyak driver, banyak driver yang tidak sopan dan gak jelas sudah terima order tapi gak dateng²",1.0
"Login pakai nmor Smrfrn minta otp nya ga dapat² , aduh.",1.0
"Tolong diperbaiki aplikasi saya, saya sudah order tapi tidak bisa dicancel sudah 5 lengemudi yang menelepon saya tolong orderan saya di cancel",1.0
Parah SDH pesan Maxim sdh naik motor mas nyo SDH sampe tujuan malah ada yg nelpon lagi bahwa saya memesan gojek lain jg parah kasian mas nya di pikir saya yg pesan,1.0
Semenjak update peta. Aplikasi jadi lemot. loading terus menerus. Padahal hp saya bukan hp kentang,1.0
"Mau nentuin lokasi sussh bgt, keburu emosi duluan ini mah 😂😂",1.0
"Makanya kasih para driver, upah yg sesuai. Kalau upah udah sesuai pasti semua dalam segala aspek akan ditingkatkan. Masa total perjalanan 9 km ongkos foodbike nya cuma 5 rb perak. Mau buat apa uang segitu ximmmm.",1.0
Mau pesan aja server sering eror kenapa..disaat di butuhkan banget server susah..petanya aja gk muncul..padahal sudah di update.kalau masalah sinyalku gk mungkin saya coba buka YouTube aja lancar..,1.0
Aplikasi buruk pesan driver malah ga bisa chat sma pengemudi jadi harus menunggu lma sangat buruk 😖,1.0
"Terlalu lama cari pengemudi, maps jg kurang lengkap , dan attitude kurang baik... kadang driver.y emosian padahal cuman menunggu 2 menit padahal diaplikasi wktu memunggu 5 menit ... dan sy jg kurang mengerti masalah tarif itu hari sy memesan driver car dengan tarif 28rb tp pas mau turun driver bilang 42rb ,sy kaget dan langsung liat aplikasi dan tertera jg 42rb ..apa tarif.y bisa dimainkan sesuka hati sm driver ..sumpah sy tidak mengerti lgi.. benar2 aplikasi ngaco. Gila",1.0
"Map jelek, akurasi nya apalagi. Loading mulu padahal sinyal manteng bagus, apa apaan nih",1.0
"Apa HP second tidak bisa di gunakan untuk aplikasi maxim..??? Hp yang sama punya teman bisa kok... Perbaiki sistemnya, lah kalau gini kan buang kuota gak bisa pake...",1.0
"masak driver menunggu lebih semenit dikit aja kena charge, sementara kadang penumpan menunggu lama",1.0
aplikasi lemot minta apun menunggu driver bisa samoai stngah jam,1.0
"Mau maju gmn ini maxim, map nya muter2, alamat susah di cari ga muncul2 haha, hapus saja lah",1.0
Kalau buat aplikasi yang niat! Jangan jadikan ajang buat penipuan!,1.0
"Mohn dengn sngt mxim ni khusus wilyh palembng penumpngnya sdh setara dengn aplikasi sebelh. Sy sebgai customer sejk hadirnya maxim di daerah tempt sy mulai beralih ke maxim krn hrganya sedikit lebih murah. Cuma sangat di sayang saya sebagai customer merasa tidak nyaman. 2x sy bertemu dengan akun maxim yg berbeda. Mereka memperlakukan TIDAK SECARA BAIK. Sya merasa tidak nyaman karna memaksa uang lebih dari hak yg wajib d bayarkan dengan ungsur paksaan,dan raut mengancam. Tolong di tindk lanjuti.",1.0
"Sekarang mau orderan deleveri di kota kendari agak susah cari pengemudi,kecewa😵",1.0
"Aplikasi yang ribet, mau pesan makanan saja tidak bisa langsung memilih tempat. Jikamemilih lokasi ketika di tekan langsung dilipilih saja tidak bisa menentukan lokasi secara akurat.",1.0
"Untuk area Gorontalo gk bsa jadi rekomended..lama bet menunggu pengmudi,d tggu sampe stngah jam gk ktemu2...lalot",1.0
"Lama banget driver muter muter, terus saya mesen apa dibawain apa, gapaham. Tolong perbaiki lagi!!! AUTO UNINSTALL APL INI!!! Ga RECOMMENDED bgt",1.0
